log_message,target_label,complexity,message_length
User temp.user logged in from IP 10.0.0.45,user_action,regex,42
"Support ending for Safari 12 by Q2 2025, update requirements",deprecation_warning,regex,60
Account locked: 2500 failed login attempts for admin,user_action,bert,52
API endpoint /v2/orders responding normally (250ms),system_notification,bert,51
Memory usage: 45% of heap (6.2GB/16GB),system_notification,bert,38
File upload failed: config.yaml exceeds 512MB limit,workflow_error,bert,51
"Cache cleared: 2500 entries removed, 1024MB freed",system_notification,llm,49
File upload completed: report.pdf (45MB) by client alice.smith,user_action,regex,62
File upload failed: quarterly.xlsx exceeds 250MB limit,workflow_error,bert,54
"Report format CSV will be discontinued, migrate to JSON by Dec 2024",deprecation_warning,regex,67
Account locked: 1500 failed login attempts for admin,user_action,bert,52
Document shared: report.pdf shared with finance-team@company.com,user_action,bert,64
Profile updated: user 12345 changed email to user@invalid-domain,user_action,bert,64
"Cache cleared: 50 entries removed, 100MB freed",system_notification,llm,46
"API endpoint /auth/login is deprecated, migrate to /v2/users by Jan 2025",deprecation_warning,bert,72
User preferences updated: email-only,user_action,bert,36
Python 3.8 support dropped: upgrade to 3.9+ required,deprecation_warning,llm,52
Load balancer health check passed - 2500 nodes healthy,system_notification,llm,54
Account locked: 5 failed login attempts for temp.user,user_action,bert,53
Memory usage: 60% of heap (7.1GB/16GB),system_notification,bert,38
"Method calculateTax() obsolete since 3.0, use TaxCalculationService instead",deprecation_warning,llm,75
Account locked: 2500 failed login attempts for admin,user_action,bert,52
Kubernetes pod eviction: node pressure memory threshold exceeded,workflow_error,llm,64
Memory usage: 60% of heap (6.2GB/16GB),system_notification,llm,38
File upload completed: config.yaml (250MB) by user temp.user,user_action,bert,60
File upload unsuccessful: report.pdf exceeds 100MB limit,workflow_error,regex,56
"Cache cleared: 20 entries removed, 250MB freed",system_notification,regex,46
"Report format CSV will be discontinued, migrate to Parquet by Q2 2025",deprecation_warning,bert,69
"Report format CSV will be discontinued, migrate to Parquet by Jan 2025",deprecation_warning,llm,70
Account locked: 100 failed login attempts for alice.smith,user_action,regex,57
Account locked: 1500 failed login attempts for temp.user,user_action,regex,56
"API endpoint /v1/users is deprecated, migrate to /v3/auth by Dec 2024",deprecation_warning,llm,69
File upload completed: config.yaml (45MB) by user john.doe,user_action,bert,58
File upload failed: backup.zip exceeds 1024MB limit,workflow_error,bert,51
File upload failed: quarterly.xlsx exceeds 45MB limit,workflow_error,llm,53
Account locked: 1250 unsuccessful login attempts for manager.ops,user_action,regex,64
Account locked: 20 unsuccessful login attempts for temp.user,user_action,regex,60
"Report format XML will be discontinued, migrate to JSON by Jan 2025",deprecation_warning,bert,67
User session expired after 30 minutes for user temp.user,user_action,bert,56
User session expired after {minutes} minutes for user manager.ops,user_action,regex,65
"Database driver postgres-9.x is deprecated, upgrade to 2.0",deprecation_warning,bert,58
Document shared: config.yaml shared with team-leads@company.com,user_action,llm,63
Configuration file data.csv reloaded successfully,system_notification,bert,49
Account locked: 10 was unsuccessful login attempts for manager.ops,user_action,llm,66
"Cache cleared: 10 entries removed, 1024MB freed",system_notification,regex,47
"Support ending for Safari 12 by Dec 2024, update requirements",deprecation_warning,bert,61
"Cache cleared: 50 entries removed, 250MB freed",system_notification,bert,46
File upload completed: quarterly.xlsx (250MB) by client manager.ops,user_action,regex,67
Account locked: 50 unsuccessful login attempts for admin,user_action,regex,56
Update available,unclassified,llm,16
"API endpoint /metrics is obsolete, migrate to /v2/users by Dec 2024",deprecation_warning,llm,67
File upload failed: data.csv exceeds 100MB limit,workflow_error,regex,48
ETL pipeline completed: 100 records processed in {minutes} minutes,system_notification,bert,66
File upload completed: config.yaml (1024MB) by client manager.ops,user_action,regex,65
"Cache cleared: 50 entries removed, 100MB freed",system_notification,llm,46
Document shared: report.pdf shared with finance-team@company.com,user_action,regex,64
File upload completed: report.pdf (45MB) by user alice.smith,user_action,bert,60
Memory usage: 75% of heap (7.1GB/8GB),system_notification,regex,37
File upload unsuccessful: quarterly.xlsx exceeds 45MB limit,workflow_error,regex,59
Account locked: 20 unsuccessful login attempts for alice.smith,user_action,regex,62
Client session expired after {minutes} minutes for client temp.client,user_action,regex,69
File upload failed: data.csv exceeds 512MB limit,workflow_error,llm,48
API rate limit exceeded for client beta-ltd (1500 requests/minute),workflow_error,regex,66
Task done,unclassified,bert,9
API endpoint /v2/orders responding normally (120ms),system_notification,regex,51
Memory usage: 60% of heap (7.1GB/16GB),system_notification,bert,38
File upload completed: quarterly.xlsx (250MB) by user alice.smith,user_action,regex,65
"Cache cleared: 1250 entries removed, 250MB freed",system_notification,llm,48
Account locked: 5 failed login attempts for admin,user_action,regex,49
File upload failed: backup.zip exceeds 250MB limit,workflow_error,llm,50
"Report format XML will be discontinued, migrate to JSON by Dec 2024",deprecation_warning,regex,67
Two-factor authentication enabled for user manager.ops,user_action,llm,54
API rate limit exceeded for client beta-ltd (100 requests/minute),workflow_error,regex,65
ETL pipeline completed: 100 records processed in 60 minutes,system_notification,bert,59
User preferences updated: push-notifications,user_action,bert,44
File upload failed: quarterly.xlsx exceeds 1024MB limit,workflow_error,llm,55
File upload unsuccessful: quarterly.xlsx exceeds 250MB limit,workflow_error,regex,60
Client session expired after 45 minutes for client manager.ops,user_action,regex,62
User temp.user logged in from IP 192.168.1.100,user_action,regex,46
"API endpoint /v1/users is deprecated, migrate to /v2/users by Jan 2025",deprecation_warning,regex,70
"API endpoint /auth/login is deprecated, migrate to /v2/users by Q2 2025",deprecation_warning,regex,71
Document validation failed: missing required field email,workflow_error,regex,56
Account locked: 20 unsuccessful login attempts for temp.user,user_action,regex,60
Data import was unsuccessful: duplicate record at line 9001,workflow_error,llm,59
"Method calculateVAT() deprecated since 2.0, use TaxCalculationService instead",deprecation_warning,llm,77
Document shared: quarterly.xlsx shared with finance-team@company.com,user_action,llm,68
"Cache cleared: 2500 entries removed, 100MB freed",system_notification,bert,48
Configuration file config.yaml reloaded completed,system_notification,regex,49
API endpoint /metrics responding normally (250ms),system_notification,regex,49
User session expired after 60 minutes for user alice.smith,user_action,regex,58
Account locked: 5 failed login attempts for temp.user,user_action,llm,53
"API endpoint /v1/users is deprecated, migrate to /v2/users by Jan 2025",deprecation_warning,llm,70
File upload completed: backup.zip (45MB) by user admin,user_action,regex,54
File upload completed: quarterly.xlsx (45MB) by user temp.user,user_action,regex,62
"Database driver postgres-9.x is obsolete, upgrade to 2.0",deprecation_warning,llm,56
"Report format CSV will be discontinued, migrate to Parquet by Q2 2025",deprecation_warning,llm,69
Account locked: 1250 unsuccessful login attempts for admin,user_action,regex,58
"Database driver postgres-9.x is deprecated, upgrade to 2.0",deprecation_warning,llm,58
File upload completed: backup.zip (45MB) by user admin,user_action,regex,54
"SSL protocol TLSv1.1 is deprecated, upgrade to TLSv1.3 by Jan 2025",deprecation_warning,bert,66
Profile updated: user 67890 changed email to test@unknown.com,user_action,regex,61
"Cache cleared: 20 entries removed, 45MB freed",system_notification,bert,45
File upload completed: backup.zip (512MB) by client manager.ops,user_action,regex,63
File upload completed: config.yaml (100MB) by user temp.user,user_action,regex,60
User session expired after 15 minutes for user admin,user_action,bert,52
"Cache cleared: 50 entries removed, 512MB freed",system_notification,bert,46
File upload was unsuccessful: backup.zip exceeds 1024MB limit,workflow_error,llm,61
"Cache cleared: 100 entries removed, 45MB freed",system_notification,bert,46
App started successfully on port 3000,system_notification,bert,37
Config option 'legacy_mode=true' will be removed in version 3.0,deprecation_warning,bert,63
Credit card authorization declined: limit exceeded,workflow_error,llm,50
File upload completed: backup.zip (250MB) by client john.doe,user_action,regex,60
Configuration file config.yaml reloaded completed successfullyly,system_notification,llm,64
File upload completed: quarterly.xlsx (45MB) by user john.doe,user_action,regex,61
File upload completed: report.pdf (45MB) by user john.doe,user_action,bert,57
File upload completed: report.pdf (512MB) by user temp.user,user_action,regex,59
Document validation was unsuccessful: missing required field email,workflow_error,llm,66
ETL pipeline completed: 50 records processed in 15 minutes,system_notification,bert,58
File upload completed: quarterly.xlsx (512MB) by user manager.ops,user_action,bert,65
Data import failed: duplicate record at line 5892,workflow_error,bert,49
"Db driver postgres-9.x is deprecated, upgrade to 3.0",deprecation_warning,bert,52
Data import failed: duplicate record at line 1247,workflow_error,regex,49
Data import unsuccessful: duplicate record at line 1247,workflow_error,regex,55
Queue processing unsuccessful: card expired,workflow_error,regex,43
"Database driver mysql-connector-5.x is deprecated, upgrade to 4.0",deprecation_warning,llm,65
Service timeout: payment unreachable,workflow_error,regex,36
Account locked: 100 failed login attempts for manager.ops,user_action,llm,57
File upload completed: config.yaml (250MB) by user alice.smith,user_action,bert,62
"Cache cleared: 1500 entries removed, 512MB freed",system_notification,bert,48
API rate limit exceeded for client xyz-corp (1250 requests/minute),workflow_error,regex,66
"Cache cleared: 50 entries removed, 512MB freed",system_notification,llm,46
API rate limit exceeded for client alpha-inc (1250 requests/minute),workflow_error,regex,67
User session expired after {minutes} minutes for user manager.ops,user_action,regex,65
"Cache cleared: 2500 entries removed, 250MB freed",system_notification,bert,48
File upload completed: backup.zip (250MB) by user temp.user,user_action,bert,59
File upload failed: quarterly.xlsx exceeds 250MB limit,workflow_error,llm,54
"Report format CSV will be discontinued, migrate to JSON by Q2 2025",deprecation_warning,bert,66
Memory usage: 82% of heap (4.2GB/8GB),system_notification,llm,37
"Legacy email template system deprecated, use cloud storage",deprecation_warning,llm,58
API rate limit exceeded for client beta-ltd (100 requests/minute),workflow_error,regex,65
API rate limit exceeded for client xyz-corp (10 requests/minute),workflow_error,llm,64
Document shared: report.pdf shared with team-leads@company.com,user_action,bert,62
File upload completed: report.pdf (512MB) by user temp.user,user_action,regex,59
Data import failed: duplicate record at line 9001,workflow_error,regex,49
Db connection pool initialized with 100 connections,system_notification,bert,51
ETL pipeline completed: 2500 records processed in {minutes} minutes,system_notification,llm,67
ETL pipeline completed: 100 records processed in 60 minutes,system_notification,bert,59
ETL pipeline completed: 50 records processed in 15 minutes,system_notification,regex,58
Account locked: 2500 failed login attempts for manager.ops,user_action,llm,58
ETL pipeline completed: 1500 records processed in 60 minutes,system_notification,regex,60
ETL pipeline completed: 2500 records processed in 60 minutes,system_notification,regex,60
Credit card authorization declined: limit exceeded,workflow_error,regex,50
API rate limit exceeded for client alpha-inc (10 requests/minute),workflow_error,llm,65
File upload unsuccessful: data.csv exceeds 250MB limit,workflow_error,regex,54
API rate limit exceeded for client alpha-inc (20 requests/minute),workflow_error,bert,65
Configuration option 'legacy_mode=true' will be removed in version 3.0,deprecation_warning,bert,70
API rate limit exceeded for client alpha-inc (20 requests/minute),workflow_error,bert,65
File upload completed: quarterly.xlsx (100MB) by user manager.ops,user_action,regex,65
Memory usage: 60% of heap (7.1GB/8GB),system_notification,llm,37
ETL pipeline completed: 5 records processed in {minutes} minutes,system_notification,bert,64
File upload completed: backup.zip (1024MB) by client admin,user_action,regex,58
Service ready,unclassified,llm,13
File upload completed: quarterly.xlsx (100MB) by user alice.smith,user_action,bert,65
Password changed completed successfullyly for user ID 78934,user_action,llm,59
"SSL protocol TLSv1.2 is deprecated, upgrade to TLSv1.3 by Jan 2025",deprecation_warning,bert,66
File upload unsuccessful: report.pdf exceeds 100MB limit,workflow_error,regex,56
User temp.user created new project 'Q1-Financials',user_action,regex,50
"API endpoint /metrics is obsolete, migrate to /v2/users by Jan 2025",deprecation_warning,llm,67
Account locked: 2500 was unsuccessful login attempts for temp.user,user_action,llm,66
"Cache cleared: 2500 entries removed, 100MB freed",system_notification,bert,48
File upload completed: quarterly.xlsx (45MB) by user manager.ops,user_action,regex,64
File upload completed: data.csv (250MB) by client alice.smith,user_action,regex,61
Password changed completed successfullyly for user ID 12847,user_action,llm,59
API endpoint /v2/orders responding normally (250ms),system_notification,regex,51
Account locked: 2500 failed login attempts for manager.ops,user_action,regex,58
"Database driver mysql-connector-5.x is obsolete, upgrade to 4.0",deprecation_warning,llm,63
File upload completed: report.pdf (1024MB) by user alice.smith,user_action,regex,62
API rate limit exceeded for client beta-ltd (100 requests/minute),workflow_error,regex,65
File upload completed: backup.zip (1024MB) by user alice.smith,user_action,regex,62
Database connection pool initialized with 100 connections,system_notification,regex,57
Maintenance window scheduled,unclassified,llm,28
Two-factor authentication enabled for user admin,user_action,bert,48
"Report format CSV will be discontinued, migrate to JSON by Jan 2025",deprecation_warning,bert,67
"API endpoint /metrics is deprecated, migrate to /v3/auth by Jan 2025",deprecation_warning,bert,68
"SSL protocol TLSv1.2 is deprecated, upgrade to TLSv1.3 by Jan 2025",deprecation_warning,bert,66
File upload completed: quarterly.xlsx (100MB) by user temp.user,user_action,bert,63
User admin created new project 'Q4-Analytics',user_action,bert,45
Configuration file quarterly.xlsx reloaded completed successfullyly,system_notification,llm,67
Service timeout: authentication unreachable,workflow_error,llm,43
Account locked: 5 failed login attempts for alice.smith,user_action,regex,55
Configuration option 'legacy_mode=true' will be removed in version 2.0,deprecation_warning,llm,70
"Cache cleared: 1250 entries removed, 250MB freed",system_notification,regex,48
"Cache cleared: 50 entries removed, 512MB freed",system_notification,llm,46
Memory usage: 95% of heap (7.1GB/16GB),system_notification,llm,38
Client session expired after 45 minutes for client alice.smith,user_action,regex,62
Account locked: 100 failed login attempts for manager.ops,user_action,bert,57
Account locked: 20 unsuccessful login attempts for temp.user,user_action,regex,60
User alice.smith created new project 'Q1-Financials',user_action,regex,52
Application started successfully on port 8080,system_notification,bert,45
Two-factor auth enabled for user alice.smith,user_action,bert,44
"SSL protocol TLSv1.1 is deprecated, upgrade to TLSv1.3 by Dec 2024",deprecation_warning,llm,66
SSL certificate renewed for domain payments.org,system_notification,regex,47
API endpoint /metrics responding normally (200ms),system_notification,bert,49
Application started successfully on port 8080,system_notification,llm,45
File upload failed: report.pdf exceeds 100MB limit,workflow_error,regex,50
API rate limit exceeded for client alpha-inc (10 requests/minute),workflow_error,bert,65
API endpoint /auth/login responding normally (145ms),system_notification,bert,52
Email delivery failed: invalid recipient address user@invalid-domain,workflow_error,bert,68
"Method calculateVAT() obsolete since 2.0, use TaxCalculationService instead",deprecation_warning,llm,75
Application started successfully on port 443,system_notification,regex,44
"Support ending for Safari 12 by Jan 2025, update requirements",deprecation_warning,regex,61
User preferences updated: push-notifications,user_action,llm,44
Account locked: 100 was unsuccessful login attempts for manager.ops,user_action,llm,67
File upload completed: report.pdf (250MB) by client temp.client,user_action,regex,63
"Method calculateTax() obsolete since 3.0, use VATService instead",deprecation_warning,llm,64
File upload completed: data.csv (45MB) by user alice.smith,user_action,bert,58
File upload completed: data.csv (1024MB) by user admin,user_action,regex,54
Action completed successfully,unclassified,regex,29
Account locked: 1500 was unsuccessful login attempts for manager.ops,user_action,llm,68
Profile updated: user 12847 changed email to user@invalid-domain,user_action,llm,64
ETL pipeline completed: 1250 records processed in 45 minutes,system_notification,llm,60
Action completed successfully,unclassified,llm,29
Config option 'debug=true' will be removed in version 2.0,deprecation_warning,bert,57
"API endpoint /v1/users is deprecated, migrate to /v2/users by Dec 2024",deprecation_warning,bert,70
Config option 'legacy_mode=true' will be removed in version 4.0,deprecation_warning,bert,63
File upload unsuccessful: data.csv exceeds 45MB limit,workflow_error,regex,53
Document shared: config.yaml shared with finance-team@company.com,user_action,bert,65
User admin logged in from IP 10.0.0.45,user_action,llm,38
File upload failed: report.pdf exceeds 45MB limit,workflow_error,bert,49
"Cache cleared: 1250 entries removed, 512MB freed",system_notification,bert,48
Memory usage: 95% of heap (6.2GB/16GB),system_notification,bert,38
File upload completed: report.pdf (45MB) by user temp.user,user_action,regex,58
Database conn timeout after 30 seconds,workflow_error,bert,38
Client preferences updated: SMS-only,user_action,regex,36
Legacy authentication module will be sunset in Q3 2025,deprecation_warning,llm,54
File upload completed: report.pdf (512MB) by user admin,user_action,regex,55
"API endpoint /metrics is deprecated, migrate to /v3/auth by Dec 2024",deprecation_warning,bert,68
File upload completed: quarterly.xlsx (100MB) by user alice.smith,user_action,regex,65
Client manager.ops logged in from IP 203.0.113.55,user_action,regex,49
File upload completed: quarterly.xlsx (1024MB) by user admin,user_action,regex,60
File upload failed: backup.zip exceeds 45MB limit,workflow_error,bert,49
Load balancer health check passed - 10 nodes healthy,system_notification,bert,52
"SSL protocol TLSv1.2 is deprecated, upgrade to TLSv1.3 by Jan 2025",deprecation_warning,llm,66
Db connection timeout after 15 seconds,workflow_error,bert,38
User session expired after 30 minutes for user temp.user,user_action,regex,56
Application initiated completed on port 8080,system_notification,regex,44
"Cache cleared: 10 entries removed, 100MB freed",system_notification,regex,46
SSL certificate renewed for domain service.domain.net,system_notification,bert,53
"Method calculateTax() deprecated since 2.0, use VATService instead",deprecation_warning,llm,66
File upload completed: report.pdf (100MB) by user temp.user,user_action,regex,59
File upload was unsuccessful: data.csv exceeds 250MB limit,workflow_error,llm,58
Configuration option 'legacy_mode=true' will be removed in version 3.0,deprecation_warning,llm,70
File upload completed: config.yaml (45MB) by user admin,user_action,bert,55
File upload completed: report.pdf (250MB) by client alice.smith,user_action,regex,63
Client admin created new project 'HR-Dashboard',user_action,regex,47
Load balancer health check passed - 5 nodes healthy,system_notification,regex,51
API endpoint /v1/users responding normally (145ms),system_notification,bert,50
"Method calculateTax() deprecated since 3.0, use VATService instead",deprecation_warning,bert,66
Legacy authentication module will be sunset in Q4 2024,deprecation_warning,regex,54
File upload completed: report.pdf (45MB) by user manager.ops,user_action,regex,60
"API endpoint /v1/users is deprecated, migrate to /v2/users by Dec 2024",deprecation_warning,regex,70
File upload completed: report.pdf (512MB) by user alice.smith,user_action,llm,61
Application initiated completed on port 8080,system_notification,regex,44
"Cache cleared: 5 entries removed, 100MB freed",system_notification,llm,45
Database conn timeout after 30 seconds,workflow_error,bert,38
Database conn pool initialized with 2500 conns,system_notification,bert,46
User session expired after {minutes} minutes for user admin,user_action,llm,59
API endpoint /v2/orders responding normally (145ms),system_notification,llm,51
Payment processing failed: insufficient funds for order #12345,workflow_error,bert,62
Database connection pool initialized with 100 connections,system_notification,regex,57
File upload completed: backup.zip (512MB) by client admin,user_action,regex,57
ETL pipeline completed: 2500 records processed in 30 minutes,system_notification,regex,60
File upload completed: backup.zip (250MB) by client admin,user_action,regex,57
Account locked: 50 unsuccessful login attempts for alice.smith,user_action,regex,62
Two-factor authentication enabled for user temp.user,user_action,bert,52
User alice.smith created new project 'Q1-Financials',user_action,regex,52
File upload completed: quarterly.xlsx (1024MB) by user manager.ops,user_action,bert,66
Account locked: 10 failed login attempts for alice.smith,user_action,regex,56
"API endpoint /auth/login is deprecated, migrate to /v3/auth by Q2 2025",deprecation_warning,llm,70
Config option 'debug=true' will be removed in version 3.0,deprecation_warning,bert,57
Service timeout: authentication unreachable,workflow_error,bert,43
Application started successfully on port 9090,system_notification,regex,45
Legacy auth module will be sunset in Q1 2024,deprecation_warning,bert,44
Account locked: 1500 failed login attempts for temp.client,user_action,regex,58
"API endpoint /auth/login is deprecated, migrate to /v3/auth by Dec 2024",deprecation_warning,bert,71
Configuration option 'legacy_mode=true' will be removed in version 3.0,deprecation_warning,bert,70
File upload completed: config.yaml (250MB) by user temp.user,user_action,regex,60
Database connection timeout after 60 seconds,workflow_error,llm,44
File upload failed: config.yaml exceeds 512MB limit,workflow_error,llm,51
SSL certificate renewed for domain payments.org,system_notification,bert,47
"Cache cleared: 50 entries removed, 512MB freed",system_notification,llm,46
"Cache cleared: 50 entries removed, 250MB freed",system_notification,bert,46
File upload completed: quarterly.xlsx (512MB) by user admin,user_action,bert,59
Client session expired after 5 minutes for client admin,user_action,regex,55
Account locked: 20 unsuccessful login attempts for alice.smith,user_action,regex,62
User admin logged in from IP 203.0.113.55,user_action,bert,41
Account locked: 1500 failed login attempts for alice.smith,user_action,regex,58
File upload failed: config.yaml exceeds 45MB limit,workflow_error,bert,50
"API endpoint /v2/orders is obsolete, migrate to /v3/auth by Dec 2024",deprecation_warning,llm,68
Account locked: 1500 failed login attempts for manager.ops,user_action,llm,58
Memory usage: 75% of heap (7.1GB/16GB),system_notification,bert,38
"Cache cleared: 20 entries removed, 100MB freed",system_notification,bert,46
"Report format CSV will be discontinued, migrate to JSON by Jan 2025",deprecation_warning,bert,67
Client session expired after 15 minutes for client temp.client,user_action,regex,62
"API endpoint /v1/users is deprecated, migrate to /v2/users by Q2 2025",deprecation_warning,llm,69
SSL certificate renewed for domain api.company.com,system_notification,regex,50
Config option 'debug=true' will be removed in version 2.0,deprecation_warning,bert,57
"Support ending for Safari 12 by Jan 2025, update requirements",deprecation_warning,bert,61
File upload completed: data.csv (512MB) by user alice.smith,user_action,regex,59
"Report format XML will be discontinued, migrate to JSON by Q2 2025",deprecation_warning,llm,66
"API endpoint /v1/clients is deprecated, migrate to /v3/auth by Dec 2024",deprecation_warning,regex,71
User preferences updated: SMS-only,user_action,regex,34
Account locked: 50 failed login attempts for temp.user,user_action,regex,54
File upload completed: config.yaml (100MB) by user temp.user,user_action,llm,60
Document shared: quarterly.xlsx shared with finance-team@company.com,user_action,llm,68
Load balancer health check passed - 5 nodes healthy,system_notification,bert,51
Configuration file backup.zip reloaded successfully,system_notification,regex,51
File upload failed: report.pdf exceeds 250MB limit,workflow_error,llm,50
"API endpoint /metrics is deprecated, migrate to /v2/users by Dec 2024",deprecation_warning,llm,69
Memory usage: 75% of heap (7.1GB/8GB),system_notification,llm,37
Account locked: 20 unsuccessful login attempts for manager.ops,user_action,regex,62
"SSL protocol TLSv1.1 is obsolete, upgrade to TLSv1.3 by Q2 2025",deprecation_warning,llm,63
Client temp.client logged in from IP 192.168.1.100,user_action,regex,50
User alice.smith created new project 'Q1-Financials',user_action,bert,52
Account locked: 2500 was unsuccessful login attempts for temp.user,user_action,llm,66
"API endpoint /auth/login is obsolete, migrate to /v3/auth by Dec 2024",deprecation_warning,llm,69
API rate limit exceeded for client alpha-inc (1250 requests/minute),workflow_error,regex,67
"Database driver postgres-9.x is deprecated, upgrade to 4.0",deprecation_warning,bert,58
"Method calculateTax() deprecated since 4.0, use VATService instead",deprecation_warning,bert,66
Database connection pool initialized with 5 connections,system_notification,regex,55
File upload completed: report.pdf (100MB) by user alice.smith,user_action,bert,61
Profile updated: client 12345 changed email to client@invalid-domain,user_action,regex,68
Document shared: data.csv shared with finance-team@company.com,user_action,llm,62
"Support ending for Internet Explorer by Q2 2025, update requirements",deprecation_warning,bert,68
Database connection pool initialized with 1250 connections,system_notification,bert,58
Memory usage: 45% of heap (6.2GB/8GB),system_notification,llm,37
Memory usage: 95% of heap (6.2GB/8GB),system_notification,bert,37
Account locked: 20 was unsuccessful login attempts for alice.smith,user_action,llm,66
API rate limit exceeded for client xyz-corp (100 requests/minute),workflow_error,regex,65
User session expired after 5 minutes for user alice.smith,user_action,regex,57
Two-factor auth enabled for user admin,user_action,bert,38
Request processed,unclassified,llm,17
Account locked: 1250 failed login attempts for admin,user_action,regex,52
Profile updated: user 67890 changed email to user@invalid-domain,user_action,bert,64
File upload completed: quarterly.xlsx (250MB) by user john.doe,user_action,bert,62
Account locked: 5 failed login attempts for manager.ops,user_action,bert,55
Memory usage: 45% of heap (7.1GB/8GB),system_notification,llm,37
"Method calculateTax() deprecated since 3.0, use VATService instead",deprecation_warning,regex,66
API endpoint /v2/orders responding normally (120ms),system_notification,regex,51
User temp.user logged in from IP {ip},user_action,bert,37
File upload failed: config.yaml exceeds 512MB limit,workflow_error,regex,51
File upload unsuccessful: quarterly.xlsx exceeds 100MB limit,workflow_error,regex,60
API endpoint /v1/users responding normally (200ms),system_notification,bert,50
Account locked: 1500 failed login attempts for manager.ops,user_action,llm,58
User alice.smith logged in from IP {ip},user_action,llm,39
"Method calculateTax() deprecated since 4.0, use TaxCalculationService instead",deprecation_warning,llm,77
Action completed successfully,unclassified,regex,29
"Cache cleared: 20 entries removed, 100MB freed",system_notification,llm,46
Account locked: 1500 failed login attempts for admin,user_action,bert,52
"API endpoint /v1/users is deprecated, migrate to /v2/users by Jan 2025",deprecation_warning,bert,70
"API endpoint /v2/orders is deprecated, migrate to /v3/auth by Dec 2024",deprecation_warning,bert,70
"Database driver mysql-connector-5.x is deprecated, upgrade to 3.0",deprecation_warning,regex,65
User session expired after 5 minutes for user john.doe,user_action,llm,54
"Db driver postgres-9.x is deprecated, upgrade to 3.0",deprecation_warning,bert,52
"API endpoint /v1/users is deprecated, migrate to /v2/users by Q2 2025",deprecation_warning,llm,69
Account locked: 5 failed login attempts for manager.ops,user_action,llm,55
File upload completed: config.yaml (250MB) by user temp.user,user_action,bert,60
User alice.smith created new project 'Q4-Analytics',user_action,bert,51
"API endpoint /v1/clients is deprecated, migrate to /v2/clients by Jan 2025",deprecation_warning,regex,74
"API endpoint /v2/orders is deprecated, migrate to /v2/users by Dec 2024",deprecation_warning,regex,71
