log_message,target_label,complexity,message_length
User manager.ops logged in from IP 203.0.113.55,user_action,bert,47
User manager.ops created new project 'Q4-Analytics',user_action,bert,51
File upload completed: report.pdf (45MB) by user alice.smith,user_action,bert,60
ETL pipeline completed: 1250 records processed in {minutes} minutes,system_notification,bert,67
Account locked: 20 failed login attempts for manager.ops,user_action,bert,56
Legacy auth module will be sunset in Q2 2024,deprecation_warning,bert,44
Profile updated: user 12345 changed email to test@unknown.com,user_action,bert,61
File upload failed: data.csv exceeds 45MB limit,workflow_error,bert,47
ETL pipeline completed: 1500 records processed in 45 minutes,system_notification,bert,60
Database connection pool initialized with 10 connections,system_notification,bert,56
File upload completed: config.yaml (45MB) by user john.doe,user_action,bert,58
Email delivery failed: invalid recipient address user@invalid-domain,workflow_error,bert,68
User alice.smith created new project 'Q1-Financials',user_action,bert,52
Memory usage: 95% of heap (6.2GB/16GB),system_notification,bert,38
User session expired after 15 minutes for user john.doe,user_action,bert,55
User session expired after 15 minutes for user temp.user,user_action,bert,56
File upload completed: data.csv (512MB) by user manager.ops,user_action,bert,59
API endpoint /v2/orders responding normally (250ms),system_notification,bert,51
User session expired after 15 minutes for user alice.smith,user_action,bert,58
"Database driver postgres-9.x is deprecated, upgrade to 4.0",deprecation_warning,bert,58
"SSL protocol TLSv1.1 is deprecated, upgrade to TLSv1.3 by Jan 2025",deprecation_warning,bert,66
"Cache cleared: 2500 entries removed, 100MB freed",system_notification,bert,48
Configuration option 'legacy_mode=true' will be removed in version 3.0,deprecation_warning,bert,70
File upload completed: backup.zip (45MB) by user admin,user_action,bert,54
Profile updated: user 12345 changed email to test@unknown.com,user_action,bert,61
API rate limit exceeded for client xyz-corp (20 requests/minute),workflow_error,bert,64
User preferences updated: email-only,user_action,bert,36
"Support ending for Internet Explorer by Q2 2025, update requirements",deprecation_warning,bert,68
Legacy auth module will be sunset in Q1 2025,deprecation_warning,bert,44
Document shared: report.pdf shared with team-leads@company.com,user_action,bert,62
Account locked: 5 failed login attempts for temp.user,user_action,bert,53
"Support ending for Safari 12 by Jan 2025, update requirements",deprecation_warning,bert,61
API rate limit exceeded for client alpha-inc (20 requests/minute),workflow_error,bert,65
"Support ending for Safari 12 by Dec 2024, update requirements",deprecation_warning,bert,61
File upload completed: config.yaml (1024MB) by user alice.smith,user_action,bert,63
User preferences updated: email-only,user_action,bert,36
Password changed successfully for user ID 12847,user_action,bert,47
"Report format XML will be discontinued, migrate to Parquet by Jan 2025",deprecation_warning,bert,70
File upload completed: data.csv (512MB) by user alice.smith,user_action,bert,59
User temp.user logged in from IP {ip},user_action,bert,37
Database conn pool initialized with 20 conns,system_notification,bert,44
File upload completed: report.pdf (1024MB) by user temp.user,user_action,bert,60
"Cache cleared: 1500 entries removed, 1024MB freed",system_notification,bert,49
File upload completed: report.pdf (45MB) by user alice.smith,user_action,bert,60
Document shared: config.yaml shared with finance-team@company.com,user_action,bert,65
File upload completed: data.csv (100MB) by user alice.smith,user_action,bert,59
"Support ending for Internet Explorer by Dec 2024, update requirements",deprecation_warning,bert,69
"Method calculateTax() deprecated since 4.0, use VATService instead",deprecation_warning,bert,66
Database conn pool initialized with 20 conns,system_notification,bert,44
Memory usage: 60% of heap (7.1GB/16GB),system_notification,bert,38
Database conn pool initialized with 20 conns,system_notification,bert,44
App started successfully on port 9090,system_notification,bert,37
Two-factor auth enabled for user alice.smith,user_action,bert,44
User session expired after 60 minutes for user admin,user_action,bert,52
User preferences updated: email-only,user_action,bert,36
"Support ending for Internet Explorer by Q2 2025, update requirements",deprecation_warning,bert,68
Config option 'legacy_mode=true' will be removed in version 4.0,deprecation_warning,bert,63
Memory usage: 95% of heap (4.2GB/8GB),system_notification,bert,37
Database conn pool initialized with 2500 conns,system_notification,bert,46
"Method calculateTax() deprecated since 2.0, use TaxCalculationService instead",deprecation_warning,bert,77
Account locked: 20 failed login attempts for alice.smith,user_action,bert,56
"Cache cleared: 1500 entries removed, 512MB freed",system_notification,bert,48
API rate limit exceeded for client xyz-corp (100 requests/minute),workflow_error,bert,65
File upload failed: backup.zip exceeds 100MB limit,workflow_error,bert,50
"Cache cleared: 1250 entries removed, 45MB freed",system_notification,bert,47
"Report format XML will be discontinued, migrate to JSON by Jan 2025",deprecation_warning,bert,67
User admin created new project 'Q4-Analytics',user_action,bert,45
Account locked: 2500 failed login attempts for admin,user_action,bert,52
File upload failed: report.pdf exceeds 100MB limit,workflow_error,bert,50
Account locked: 5 failed login attempts for john.doe,user_action,bert,52
Database conn timeout after 15 seconds,workflow_error,bert,38
File upload failed: report.pdf exceeds 250MB limit,workflow_error,bert,50
API endpoint /auth/login responding normally (120ms),system_notification,bert,52
File upload failed: quarterly.xlsx exceeds 45MB limit,workflow_error,bert,53
File upload completed: quarterly.xlsx (45MB) by user admin,user_action,bert,58
File upload completed: backup.zip (45MB) by user john.doe,user_action,bert,57
Config option 'legacy_mode=true' will be removed in version 3.0,deprecation_warning,bert,63
Config option 'legacy_mode=true' will be removed in version 4.0,deprecation_warning,bert,63
Legacy authentication module will be sunset in Q2 2025,deprecation_warning,bert,54
Account locked: 5 failed login attempts for john.doe,user_action,bert,52
Payment processing failed: insufficient funds for order #67890,workflow_error,bert,62
Service timeout: payment unreachable,workflow_error,bert,36
Account locked: 2500 failed login attempts for alice.smith,user_action,bert,58
ETL pipeline completed: 100 records processed in 60 minutes,system_notification,bert,59
Config option 'debug=true' will be removed in version 4.0,deprecation_warning,bert,57
File upload completed: backup.zip (45MB) by user admin,user_action,bert,54
File upload failed: backup.zip exceeds 1024MB limit,workflow_error,bert,51
"API endpoint /auth/login is deprecated, migrate to /v2/users by Q2 2025",deprecation_warning,bert,71
Two-factor authentication enabled for user temp.user,user_action,bert,52
File upload completed: backup.zip (100MB) by user temp.user,user_action,bert,59
Database conn timeout after 15 seconds,workflow_error,bert,38
Legacy authentication module will be sunset in Q2 2025,deprecation_warning,bert,54
User session expired after 15 minutes for user admin,user_action,bert,52
App started successfully on port 9090,system_notification,bert,37
User admin created new project 'HR-Dashboard',user_action,bert,45
File upload completed: data.csv (45MB) by user temp.user,user_action,bert,56
"Cache cleared: 100 entries removed, 1024MB freed",system_notification,bert,48
Database conn pool initialized with 10 conns,system_notification,bert,44
Email delivery failed: invalid recipient address user@invalid-domain,workflow_error,bert,68
SSL certificate renewed for domain service.domain.net,system_notification,bert,53
User temp.user logged in from IP {ip},user_action,bert,37
"Cache cleared: 2500 entries removed, 250MB freed",system_notification,bert,48
User session expired after {minutes} minutes for user admin,user_action,bert,59
Payment processing failed: insufficient funds for order #12345,workflow_error,bert,62
Configuration option 'legacy_mode=true' will be removed in version 4.0,deprecation_warning,bert,70
Data import failed: duplicate record at line 5892,workflow_error,bert,49
Database connection pool initialized with 2500 connections,system_notification,bert,58
API endpoint /auth/login responding normally (145ms),system_notification,bert,52
User alice.smith logged in from IP 203.0.113.55,user_action,bert,47
"Method calculateTax() deprecated since 3.0, use VATService instead",deprecation_warning,bert,66
"Method calculateTax() deprecated since 2.0, use VATService instead",deprecation_warning,bert,66
Memory usage: 82% of heap (6.2GB/8GB),system_notification,bert,37
File upload completed: data.csv (45MB) by user temp.user,user_action,bert,56
User alice.smith created new project 'Q4-Analytics',user_action,bert,51
Database connection pool initialized with 20 connections,system_notification,bert,56
File upload completed: data.csv (100MB) by user alice.smith,user_action,bert,59
File upload completed: backup.zip (45MB) by user admin,user_action,bert,54
"Cache cleared: 2500 entries removed, 250MB freed",system_notification,bert,48
Db connection timeout after 30 seconds,workflow_error,bert,38
Config option 'debug=true' will be removed in version 4.0,deprecation_warning,bert,57
Service timeout: shipping unreachable,workflow_error,bert,37
File upload failed: quarterly.xlsx exceeds 100MB limit,workflow_error,bert,54
User manager.ops logged in from IP 192.168.1.100,user_action,bert,48
"API endpoint /auth/login is deprecated, migrate to /v3/auth by Jan 2025",deprecation_warning,bert,71
File upload completed: backup.zip (512MB) by user manager.ops,user_action,bert,61
Memory usage: 45% of heap (4.2GB/16GB),system_notification,bert,38
Config option 'debug=true' will be removed in version 2.0,deprecation_warning,bert,57
Database connection timeout after 60 seconds,workflow_error,bert,44
API rate limit exceeded for client xyz-corp (50 requests/minute),workflow_error,bert,64
"Report format XML will be discontinued, migrate to JSON by Jan 2025",deprecation_warning,bert,67
API endpoint /auth/login responding normally (200ms),system_notification,bert,52
File upload failed: config.yaml exceeds 250MB limit,workflow_error,bert,51
File upload completed: backup.zip (250MB) by user temp.user,user_action,bert,59
"API endpoint /metrics is deprecated, migrate to /v2/users by Q2 2025",deprecation_warning,bert,68
Memory usage: 82% of heap (7.1GB/16GB),system_notification,bert,38
Config file report.pdf reloaded successfully,system_notification,bert,44
Password changed successfully for user ID 78934,user_action,bert,47
"Db driver postgres-9.x is deprecated, upgrade to 3.0",deprecation_warning,bert,52
User admin logged in from IP 203.0.113.55,user_action,bert,41
Task done,unclassified,bert,9
Document shared: report.pdf shared with team-leads@company.com,user_action,bert,62
Load balancer health check passed - 1500 nodes healthy,system_notification,bert,54
User preferences updated: SMS-only,user_action,bert,34
File upload completed: backup.zip (512MB) by user manager.ops,user_action,bert,61
File upload completed: report.pdf (250MB) by user john.doe,user_action,bert,58
File upload completed: report.pdf (100MB) by user john.doe,user_action,bert,58
"Cache cleared: 100 entries removed, 1024MB freed",system_notification,bert,48
File upload completed: report.pdf (45MB) by user manager.ops,user_action,bert,60
ETL pipeline completed: 1250 records processed in 60 minutes,system_notification,bert,60
File upload failed: backup.zip exceeds 45MB limit,workflow_error,bert,49
Configuration file backup.zip reloaded successfully,system_notification,bert,51
File upload completed: config.yaml (250MB) by user alice.smith,user_action,bert,62
"Cache cleared: 1250 entries removed, 512MB freed",system_notification,bert,48
API rate limit exceeded for client alpha-inc (1500 requests/minute),workflow_error,bert,67
Two-factor auth enabled for user alice.smith,user_action,bert,44
Payment processing failed: insufficient funds for order #54321,workflow_error,bert,62
File upload completed: quarterly.xlsx (1024MB) by user manager.ops,user_action,bert,66
API endpoint /v1/users responding normally (145ms),system_notification,bert,50
"API endpoint /v2/orders is deprecated, migrate to /v3/auth by Dec 2024",deprecation_warning,bert,70
File upload completed: quarterly.xlsx (512MB) by user alice.smith,user_action,bert,65
"Cache cleared: 2500 entries removed, 250MB freed",system_notification,bert,48
Database conn pool initialized with 10 conns,system_notification,bert,44
Account locked: 2500 failed login attempts for admin,user_action,bert,52
Config option 'legacy_mode=true' will be removed in version 3.0,deprecation_warning,bert,63
File upload completed: report.pdf (1024MB) by user temp.user,user_action,bert,60
File upload completed: data.csv (512MB) by user admin,user_action,bert,53
File upload failed: report.pdf exceeds 1024MB limit,workflow_error,bert,51
"Cache cleared: 2500 entries removed, 250MB freed",system_notification,bert,48
Memory usage: 95% of heap (4.2GB/16GB),system_notification,bert,38
File upload failed: data.csv exceeds 100MB limit,workflow_error,bert,48
Document shared: backup.zip shared with finance-team@company.com,user_action,bert,64
File upload failed: quarterly.xlsx exceeds 100MB limit,workflow_error,bert,54
Document shared: quarterly.xlsx shared with finance-team@company.com,user_action,bert,68
File upload completed: backup.zip (45MB) by user manager.ops,user_action,bert,60
Memory usage: 45% of heap (7.1GB/16GB),system_notification,bert,38
SSL certificate renewed for domain payments.org,system_notification,bert,47
User session expired after 60 minutes for user admin,user_action,bert,52
User session expired after 5 minutes for user manager.ops,user_action,bert,57
File upload completed: backup.zip (45MB) by user manager.ops,user_action,bert,60
File upload completed: quarterly.xlsx (100MB) by user admin,user_action,bert,59
Database connection timeout after 30 seconds,workflow_error,bert,44
File upload completed: data.csv (512MB) by user john.doe,user_action,bert,56
"Support ending for Internet Explorer by Dec 2024, update requirements",deprecation_warning,bert,69
Memory usage: 82% of heap (6.2GB/8GB),system_notification,bert,37
Configuration option 'debug=true' will be removed in version 2.0,deprecation_warning,bert,64
Account locked: 100 failed login attempts for temp.user,user_action,bert,55
API rate limit exceeded for client xyz-corp (1500 requests/minute),workflow_error,bert,66
Configuration file report.pdf reloaded successfully,system_notification,bert,51
File upload completed: quarterly.xlsx (1024MB) by user manager.ops,user_action,bert,66
ETL pipeline completed: 20 records processed in 5 minutes,system_notification,bert,57
Legacy authentication module will be sunset in Q2 2024,deprecation_warning,bert,54
File upload completed: config.yaml (45MB) by user john.doe,user_action,bert,58
"Cache cleared: 2500 entries removed, 100MB freed",system_notification,bert,48
Database connection pool initialized with 10 connections,system_notification,bert,56
API endpoint /v2/orders responding normally (145ms),system_notification,bert,51
File upload completed: quarterly.xlsx (512MB) by user temp.user,user_action,bert,63
File upload completed: config.yaml (250MB) by user alice.smith,user_action,bert,62
"API endpoint /v2/orders is deprecated, migrate to /v2/users by Dec 2024",deprecation_warning,bert,71
Account locked: 100 failed login attempts for manager.ops,user_action,bert,57
Db connection timeout after 15 seconds,workflow_error,bert,38
Database conn pool initialized with 100 conns,system_notification,bert,45
Legacy authentication module will be sunset in Q3 2025,deprecation_warning,bert,54
API endpoint /metrics responding normally (200ms),system_notification,bert,49
User manager.ops logged in from IP 203.0.113.55,user_action,bert,47
API rate limit exceeded for client xyz-corp (20 requests/minute),workflow_error,bert,64
Memory usage: 82% of heap (4.2GB/16GB),system_notification,bert,38
Credit card authorization declined: invalid CVV,workflow_error,bert,47
Account locked: 1250 failed login attempts for manager.ops,user_action,bert,58
User session expired after 5 minutes for user manager.ops,user_action,bert,57
"Report format XML will be discontinued, migrate to Parquet by Dec 2024",deprecation_warning,bert,70
File upload completed: config.yaml (512MB) by user alice.smith,user_action,bert,62
Database connection pool initialized with 2500 connections,system_notification,bert,58
Memory usage: 60% of heap (6.2GB/8GB),system_notification,bert,37
Account locked: 1250 failed login attempts for alice.smith,user_action,bert,58
Database conn pool initialized with 2500 conns,system_notification,bert,46
User session expired after 15 minutes for user admin,user_action,bert,52
Application started successfully on port 8080,system_notification,bert,45
"Cache cleared: 50 entries removed, 45MB freed",system_notification,bert,45
API rate limit exceeded for client beta-ltd (5 requests/minute),workflow_error,bert,63
"SSL protocol TLSv1.2 is deprecated, upgrade to TLSv1.3 by Jan 2025",deprecation_warning,bert,66
"Cache cleared: 100 entries removed, 250MB freed",system_notification,bert,47
Profile updated: user 12847 changed email to user@invalid-domain,user_action,bert,64
"Report format CSV will be discontinued, migrate to JSON by Dec 2024",deprecation_warning,bert,67
"Cache cleared: 50 entries removed, 250MB freed",system_notification,bert,46
API endpoint /auth/login responding normally (145ms),system_notification,bert,52
Db connection pool initialized with 1500 connections,system_notification,bert,52
Legacy authentication module will be sunset in Q2 2025,deprecation_warning,bert,54
File upload completed: config.yaml (250MB) by user temp.user,user_action,bert,60
Load balancer health check passed - 5 nodes healthy,system_notification,bert,51
Memory usage: 45% of heap (4.2GB/8GB),system_notification,bert,37
Configuration option 'debug=true' will be removed in version 2.0,deprecation_warning,bert,64
Db connection pool initialized with 1500 connections,system_notification,bert,52
File upload completed: quarterly.xlsx (1024MB) by user admin,user_action,bert,60
ETL pipeline completed: 1250 records processed in {minutes} minutes,system_notification,bert,67
"Cache cleared: 5 entries removed, 45MB freed",system_notification,bert,44
User temp.user logged in from IP 10.0.0.45,user_action,bert,42
User session expired after 30 minutes for user temp.user,user_action,bert,56
Account locked: 1500 failed login attempts for temp.user,user_action,bert,56
Account locked: 10 failed login attempts for manager.ops,user_action,bert,56
Account locked: 1500 failed login attempts for manager.ops,user_action,bert,58
API rate limit exceeded for client beta-ltd (1500 requests/minute),workflow_error,bert,66
"Cache cleared: 20 entries removed, 1024MB freed",system_notification,bert,47
User john.doe logged in from IP 203.0.113.55,user_action,bert,44
Account locked: 20 failed login attempts for alice.smith,user_action,bert,56
ETL pipeline completed: 1500 records processed in {minutes} minutes,system_notification,bert,67
Database conn timeout after 30 seconds,workflow_error,bert,38
Status: OK,unclassified,bert,10
Memory usage: 95% of heap (6.2GB/16GB),system_notification,bert,38
File upload completed: data.csv (250MB) by user temp.user,user_action,bert,57
Two-factor auth enabled for user alice.smith,user_action,bert,44
Database connection pool initialized with 5 connections,system_notification,bert,55
"Cache cleared: 100 entries removed, 250MB freed",system_notification,bert,47
Memory usage: 95% of heap (6.2GB/8GB),system_notification,bert,37
"Cache cleared: 100 entries removed, 1024MB freed",system_notification,bert,48
Two-factor auth enabled for user admin,user_action,bert,38
User session expired after {minutes} minutes for user temp.user,user_action,bert,63
File upload completed: config.yaml (250MB) by user temp.user,user_action,bert,60
Maintenance window scheduled,unclassified,bert,28
Old file storage API deprecated: migrate to new template engine,deprecation_warning,bert,63
ETL pipeline completed: 100 records processed in 60 minutes,system_notification,bert,59
File upload completed: quarterly.xlsx (512MB) by user admin,user_action,bert,59
File upload completed: data.csv (45MB) by user temp.user,user_action,bert,56
"Database driver postgres-9.x is deprecated, upgrade to 2.0",deprecation_warning,bert,58
Configuration file quarterly.xlsx reloaded successfully,system_notification,bert,55
File upload completed: config.yaml (250MB) by user manager.ops,user_action,bert,62
API endpoint /auth/login responding normally (250ms),system_notification,bert,52
Document validation failed: missing required field customer_id,workflow_error,bert,62
Document shared: quarterly.xlsx shared with team-leads@company.com,user_action,bert,66
"Cache cleared: 1500 entries removed, 1024MB freed",system_notification,bert,49
File upload completed: data.csv (250MB) by user admin,user_action,bert,53
File upload completed: report.pdf (45MB) by user manager.ops,user_action,bert,60
Db connection pool initialized with 1250 connections,system_notification,bert,52
Config option 'debug=true' will be removed in version 3.0,deprecation_warning,bert,57
Account locked: 5 failed login attempts for admin,user_action,bert,49
File upload completed: report.pdf (1024MB) by user temp.user,user_action,bert,60
Email delivery failed: invalid recipient address user@invalid-domain,workflow_error,bert,68
Account locked: 5 failed login attempts for manager.ops,user_action,bert,55
Legacy auth module will be sunset in Q4 2024,deprecation_warning,bert,44
ETL pipeline completed: 5 records processed in 45 minutes,system_notification,bert,57
"Db driver mysql-connector-5.x is deprecated, upgrade to 4.0",deprecation_warning,bert,59
Document shared: config.yaml shared with finance-team@company.com,user_action,bert,65
File upload completed: data.csv (100MB) by user john.doe,user_action,bert,56
"Method calculateTax() deprecated since 4.0, use TaxCalculationService instead",deprecation_warning,bert,77
Service timeout: auth unreachable,workflow_error,bert,33
Configuration file data.csv reloaded successfully,system_notification,bert,49
User session expired after 15 minutes for user alice.smith,user_action,bert,58
File upload completed: data.csv (250MB) by user temp.user,user_action,bert,57
"API endpoint /metrics is deprecated, migrate to /v3/auth by Dec 2024",deprecation_warning,bert,68
App started successfully on port 3000,system_notification,bert,37
File upload completed: data.csv (512MB) by user admin,user_action,bert,53
Document shared: backup.zip shared with finance-team@company.com,user_action,bert,64
File upload completed: quarterly.xlsx (512MB) by user manager.ops,user_action,bert,65
Db connection pool initialized with 10 connections,system_notification,bert,50
Db connection pool initialized with 100 connections,system_notification,bert,51
User session expired after 60 minutes for user alice.smith,user_action,bert,58
"API endpoint /auth/login is deprecated, migrate to /v3/auth by Dec 2024",deprecation_warning,bert,71
"Cache cleared: 50 entries removed, 1024MB freed",system_notification,bert,47
API rate limit exceeded for client beta-ltd (5 requests/minute),workflow_error,bert,63
"Report format XML will be discontinued, migrate to Parquet by Q2 2025",deprecation_warning,bert,69
Account locked: 1500 failed login attempts for admin,user_action,bert,52
ETL pipeline completed: 2500 records processed in {minutes} minutes,system_notification,bert,67
"API endpoint /auth/login is deprecated, migrate to /v3/auth by Q2 2025",deprecation_warning,bert,70
"API endpoint /v1/users is deprecated, migrate to /v3/auth by Dec 2024",deprecation_warning,bert,69
"Method calculateTax() deprecated since 3.0, use VATService instead",deprecation_warning,bert,66
File upload completed: backup.zip (512MB) by user manager.ops,user_action,bert,61
Legacy auth module will be sunset in Q1 2024,deprecation_warning,bert,44
File upload failed: config.yaml exceeds 1024MB limit,workflow_error,bert,52
File upload failed: backup.zip exceeds 45MB limit,workflow_error,bert,49
"Cache cleared: 2500 entries removed, 250MB freed",system_notification,bert,48
ETL pipeline completed: 20 records processed in 45 minutes,system_notification,bert,58
ETL pipeline completed: 1250 records processed in {minutes} minutes,system_notification,bert,67
API rate limit exceeded for client xyz-corp (20 requests/minute),workflow_error,bert,64
